MEDIUM_MEDIENINHABER,medium,RECHTSTRÄGER,LEERMELDUNG,QUARTAL,bekanntgabe_description,year,BEKANNTGABE,id,EURO
Bezirksrundschau Oberösterreich (inkl Stadtrundschau),Bezirksrundschau OÖ,AVE Österreich GmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,128,8672.0
Life Radio,Life Radio,AVE Österreich GmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,129,11600.0
Kleine Zeitung,Kleine Zeitung,Bestattung der Grazer Stadtwerke GmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,130,10417.65
Herold Business Data GmbH,Herold,Bestattung der Grazer Stadtwerke GmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,131,14295.0
Kurier,Kurier,BESTATTUNG WIEN GmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,132,36414.0
Österreich,Österreich,Betriebskrankenkasse der Wiener Verkehrsbetriebe,0,20123,Werbeaufträge und Medienkooperationen,2012,2,133,10443.06
Krone,Krone,Betriebskrankenkasse der Wiener Verkehrsbetriebe,0,20123,Werbeaufträge und Medienkooperationen,2012,2,134,17769.89
Heute,Heute,Betriebskrankenkasse der Wiener Verkehrsbetriebe,0,20123,Werbeaufträge und Medienkooperationen,2012,2,135,11964.6
24 Stunden für Wien,24 Stunden für Wien,B&F Wien - Bestattung und Friedhöfe GmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,136,13072.06
Vorarlberger Nachrichten,Vorarlberger Nachrichten,Bludenz Stadt-Marketing GmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,137,6974.48
Google Adwords,Google,Bregenzer Festspiele GmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,138,6500.0
Bus & Hotel Report,Bus & Hotel Report,Bregenzer Festspiele GmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,139,5040.0
RSA - Der Allgäusender,RSA - Der Allgäusender,Bregenzer Festspiele GmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,140,7795.0
Regio TV Bodensee,Regio TV Bodensee,Bregenzer Festspiele GmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,141,5612.5
Südkurier,Südkurier,Bregenzer Festspiele GmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,142,7190.4
Schwäbische Zeitung,Schwäbische Zeitung,Bregenzer Festspiele GmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,143,9348.0
Vorarlberger Nachrichten,Vorarlberger Nachrichten,Bregenzer Festspiele GmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,144,19052.8
Vorarlberger Nachrichten Extra,Vorarlberger Nachrichten,Bregenzer Festspiele GmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,145,8984.0
Radio Vorarlberg,Radio Vorarlberg,Bregenzer Festspiele GmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,146,6660.73
Neue Vorarlberger Tageszeitung,Neue Vorarlberger Tageszeitung,Bregenzer Festspiele GmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,147,12400.0
Vorarlberg Online,Vorarlberg Online,Bregenzer Festspiele GmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,148,10000.0
Immobilien Magazin,Immobilien Magazin,Bundesimmobiliengesellschaft m.b.H.,0,20123,Werbeaufträge und Medienkooperationen,2012,2,149,9000.0
ATV,ATV,Bundeskammer für Arbeiter und Angestellte,0,20123,Werbeaufträge und Medienkooperationen,2012,2,150,7420.5
Puls 4,Puls 4,Bundeskammer für Arbeiter und Angestellte,0,20123,Werbeaufträge und Medienkooperationen,2012,2,151,8352.15
Pro Sieben Austria,Pro Sieben,Bundeskammer für Arbeiter und Angestellte,0,20123,Werbeaufträge und Medienkooperationen,2012,2,152,7556.54
ORF 2,ORF,Bundeskammer für Arbeiter und Angestellte,0,20123,Werbeaufträge und Medienkooperationen,2012,2,153,24225.0
orf.at,ORF,Bundeskammer für Arbeiter und Angestellte,0,20123,Werbeaufträge und Medienkooperationen,2012,2,154,17500.0
ORF 1,ORF,Bundeskammer für Arbeiter und Angestellte,0,20123,Werbeaufträge und Medienkooperationen,2012,2,155,11560.0
Sat 1 - Österreich,SAT 1,Bundeskammer für Arbeiter und Angestellte,0,20123,Werbeaufträge und Medienkooperationen,2012,2,156,8648.98
VOX,VOX,Bundeskammer für Arbeiter und Angestellte,0,20123,Werbeaufträge und Medienkooperationen,2012,2,157,7507.67
Kabel 1 austria,Kabel 1,Bundeskammer für Arbeiter und Angestellte,0,20123,Werbeaufträge und Medienkooperationen,2012,2,158,5614.83
