MEDIUM_MEDIENINHABER,medium,RECHTSTRÄGER,LEERMELDUNG,QUARTAL,bekanntgabe_description,year,BEKANNTGABE,id,EURO
Woche Obersteiermark,Woche Steiermark,Stadtwerke Kapfenberg GmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1548,10076.35
Regionalmedien Klagenfurtner,Regionalmedien Klagenfurtner,Stadtwerke Klagenfurt Aktiengesellschaft,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1549,5845.0
Weekend Magazin Kärnten,Weekend Magazin,Stadtwerke Klagenfurt Aktiengesellschaft,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1550,10490.0
Infosreen,Infoscreen,Stadtwerke Klagenfurt Aktiengesellschaft,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1551,9399.0
ORF Kärnten,ORF,STAMA VERANSTALTUNGS- UND STADTMARKETING GESMBH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1552,5001.03
Kleine Zeitung,Kleine Zeitung,Steiermärkische Rechtsanwaltskammer,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1553,7500.0
gmx,www.gmx.at,Steirische Tourismus GmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1554,5118.7
bergfex,bergfex,Steirische Tourismus GmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1555,5939.96
tiscover.at,tiscover.at,Steirische Tourismus GmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1556,8160.0
google,Google,Steirische Tourismus GmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1557,10718.83
Tips Linz,Tips,Steirische Tourismus GmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1558,11943.83
facebook,Facebook,Steirische Tourismus GmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1559,7554.57
Kronen Zeitung,Krone,Steirische Verkehrsverbund Gesellschaft m.b.H.,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1560,8802.8
ORF Steiermark,ORF,Steirische Wirtschaftsförderungsgesellschaft m.b.H.,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1561,45810.0
FAZIT,Fazit,Steirische Wirtschaftsförderungsgesellschaft m.b.H.,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1562,6000.0
Kleine Zeitung,Kleine Zeitung,Steirische Wirtschaftsförderungsgesellschaft m.b.H.,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1563,61596.5
Kleine Zeitung,Kleine Zeitung,steirischer herbst festival gmbh,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1564,9400.0
Der Standard,Der Standard,steirischer herbst festival gmbh,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1565,25382.88
derstandard.at,Der Standard,steirischer herbst festival gmbh,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1566,7626.0
Kleine Zeitung,Kleine Zeitung,Steirischer Landestiergarten GmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1567,10000.0
ORF Steiermark,ORF,Steirischer Landestiergarten GmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1568,7000.0
Kleine Zeitung,Kleine Zeitung,STEWEAG-STEG GmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1569,11600.0
Der Standard,Der Standard,Tanzquartier-Wien GmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1570,15298.92
Die Presse,Die Presse,Technische Universität Graz,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1571,5281.98
oe24,Österreich,Technisches Museum Wien mit Österreichischer Mediathek,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1572,6559.54
Infoscreen,Infoscreen,Technisches Museum Wien mit Österreichischer Mediathek,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1573,9517.08
InnoTrans Daily Berlin,InnoTrans Daily Berlin,TELEREAL Telekommunikationsanlagen GmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1574,7395.0
www.telereal.at,www.telereal.at,TELEREAL Telekommunikationsanlagen GmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1575,6880.0
Kurier,Kurier,Theater in der Josef- stadt Betriebsgesellschaft m.b.H.,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1576,14600.0
Die Presse,Die Presse,Theater in der Josef- stadt Betriebsgesellschaft m.b.H.,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1577,22900.0
ORF Tirol,ORF,TIGAS-Erdgas Tirol GmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1578,20000.0
Tiroler Tageszeitung,Tiroler Tageszeitung,TIGAS-Erdgas Tirol GmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1579,20765.08
6020,6020,TIGAS-Erdgas Tirol GmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1580,5292.0
Spitalfields Market,Spitalfields Market,Tirol Werbung,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1581,9333.33
Tiroler Tageszeitung,Tiroler Tageszeitung,Tirol Werbung,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1582,21397.55
ORF Tirol,ORF,Tirol Werbung,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1583,80000.0
n-tv,n-tv,Tirol Werbung,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1584,37027.12
Trekkingbike,Trekkingbike,Tirol Werbung,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1585,5070.0
Online Plattform,Online Plattform,Tirol Werbung,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1586,5500.0
Saison Tirol,Saison Tirol,Tirol Werbung,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1587,16500.0
Bezirksblätter Tirol,Bezirksblätter,Tirol Werbung,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1588,12379.53
ORF Tirol,ORF,Tirol Werbung,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1589,25000.0
travelzoo,travelzoo,Tirol Werbung,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1590,10000.0
Google,Google,Tirol Werbung,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1591,13375.0
Sportmagazin Outdoor Special,Sportmagazin,Tirol Werbung,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1592,5250.0
Google,Google,Tirol Werbung,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1593,16000.0
Google,Google,Tirol Werbung,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1594,7500.0
Google,Google,Tirol Werbung,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1595,5426.09
Google,Google,Tirol Werbung GmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1596,13375.0
Sportmagazin outdoor Special,Sportmagazin,Tirol Werbung GmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1597,5250.0
Google,Google,Tirol Werbung GmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1598,16000.0
ORF Tirol,ORF,Tirol Werbung GmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1599,25000.0
Bezirksblätter Tirol,Bezirksblätter,Tirol Werbung GmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1600,12379.53
Saison Tirol,Saison Tirol,Tirol Werbung GmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1601,16500.0
Online Plattform,Online Plattform,Tirol Werbung GmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1602,5500.0
Trekkingbike,Trekkingbike,Tirol Werbung GmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1603,5070.0
n-tv,n-tv,Tirol Werbung GmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1604,37027.12
travelzoo,travelzoo,Tirol Werbung GmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1605,10000.0
Spitalfields Market,Spitalfields Market,Tirol Werbung GmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1606,9333.33
ORF Tirol,ORF,Tirol Werbung GmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1607,80000.0
Tiroler Tageszeitung,Tiroler Tageszeitung,Tirol Werbung GmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1608,21397.55
Google,Google,Tirol Werbung GmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1609,5426.09
Google,Google,Tirol Werbung GmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1610,7500.0
ORF Tirol,ORF,Tiroler Festspiele Erl Betriebsges.m.b.H,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1611,8047.5
Platzer Media OHG (Pauschalhonorar August 2012),Platzer Media OHG (Pauschalhonorar August 2012),Tiroler Gebietskrankenkasse,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1612,15624.99
ORF Tirol (Radiosendungen Gesund Leben mit ORF Tirol ¿ Schwerpunkt Diabetes mellitus),ORF,Tiroler Gebietskrankenkasse,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1613,10500.0
Avomed Zahnprophylaxe,Avomed Zahnprophylaxe,Tiroler Gebietskrankenkasse,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1614,49375.75
Moser Holding ¿ Tiroler Tageszeitung ¿ Toni Times (p.r. ¿Essen wie ein Kaiser¿),Tiroler Tageszeitung,Tiroler Gebietskrankenkasse,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1615,15266.74
Dachverband Selbsthilfegruppen Tirol (Sponsoring),Dachverband Selbsthilfegruppen Tirol (Sponsoring),Tiroler Gebietskrankenkasse,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1616,12000.0
Tiroler Tageszeitung,Tiroler Tageszeitung,Tiroler gemeinnützige Wohnungsbau- und Siedlungsgesellschaft m.b.H.,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1617,12513.0
Tiroler Tageszeitung,Tiroler Tageszeitung,Tiroler Landesmuseen- Betriebsgesellschaft m.b.H.,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1618,7359.5
Radio Osttirol,Radio Osttirol GmbH,Tiroler Nationalparkfonds Hohe Tauern,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1619,9615.26
Tiroler Tageszeitung,Tiroler Tageszeitung,Tiroler Rechtsanwaltskammer,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1620,5952.51
Kronenzeitung,Krone,TIWAG-Tiroler Wasserkraft AG,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1621,20066.26
Tiroler Tageszeitung,Tiroler Tageszeitung,TIWAG-Tiroler Wasserkraft AG,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1622,7926.97
Tiroler Tageszeitung,Tiroler Tageszeitung,TIWAG-Tiroler Wasserkraft AG,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1623,8305.92
Bezirksbläter Tirol GmbH,Bezirksblätter,TIWAG-Tiroler Wasserkraft AG,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1624,12043.4
Bezirksblätters Tirol GmbH,Bezirksblätter,TIWAG-Tiroler Wasserkraft AG,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1625,5100.0
Bezirksblätter Tirol GmbH,Bezirksblätter,TIWAG-Tiroler Wasserkraft AG,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1626,44100.0
Echo Zeitschriften und Verlags GesmbH.,ECHO Zeitschriften u. Verlags GmbH,TIWAG-Tiroler Wasserkraft AG,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1627,6612.08
Echo Zeitschriften und Verlags GesmbH.,ECHO Zeitschriften u. Verlags GmbH,TIWAG-Tiroler Wasserkraft AG,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1628,7534.8
Kronenzeitung,Krone,TIWAG-Tiroler Wasserkraft AG,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1629,7812.95
ORF,ORF,TIWAG-Tiroler Wasserkraft AG,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1630,16823.7
ORF,ORF,TIWAG-Tiroler Wasserkraft AG,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1631,84474.0
tirol tv,Tirol TV,TIWAG-Tiroler Wasserkraft AG,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1632,5901.66
tirol tv,Tirol TV,TIWAG-Tiroler Wasserkraft AG,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1633,15885.46
Tiroler Tageszeitung,Tiroler Tageszeitung,TIWAG-Tiroler Wasserkraft AG,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1634,28949.14
Tiroler Tageszeitung,Tiroler Tageszeitung,TIWAG-Tiroler Wasserkraft AG,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1635,10380.15
ORF Tirol,ORF,"TOP-CITY-KUFSTEIN Gesellschaft für Kultur, Freizeit und Stadtmarketing Ges.m.b.H.",0,20123,Werbeaufträge und Medienkooperationen,2012,2,1636,18110.0
Salzburger Nachrichten,Salzburger Nachrichten,Universität für Weiterbildung Krems - Donau-Universität Krems,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1637,17590.0
Google Ireland Limited,Google,Universität für Weiterbildung Krems - Donau-Universität Krems,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1638,41661.36
MedMedia Verlag und Mediaservice GmbH,MedMedia Verlag und Mediaservice GmbH,Universität für Weiterbildung Krems - Donau-Universität Krems,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1639,7009.7
Schaffler Verlag,Schaffler Verlag,Universität für Weiterbildung Krems - Donau-Universität Krems,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1640,5072.04
Karp Communication Company,Karp Communication Company,Universität für Weiterbildung Krems - Donau-Universität Krems,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1641,5590.0
Verlagsgruppe News GesmbH,News,Universität für Weiterbildung Krems - Donau-Universität Krems,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1642,6693.76
sueddeutsche.de - iq digital media marketing gmbh,Süddeutsche Zeitung,Universität für Weiterbildung Krems - Donau-Universität Krems,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1643,7501.01
derStandard.at GmbH,Der Standard,Universität für Weiterbildung Krems - Donau-Universität Krems,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1644,9281.72
Die Presse Verlags-GesmbH & Co KG,Die Presse,Universität für Weiterbildung Krems - Donau-Universität Krems,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1645,12277.73
Standard Verlagsges.m.b.H,Der Standard,Universität für Weiterbildung Krems - Donau-Universität Krems,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1646,16119.76
Zeit online - iq digital media marketing gmbh,Die Zeit,Universität für Weiterbildung Krems - Donau-Universität Krems,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1647,7501.01
Die Presse,Die Presse,Universität Graz,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1648,10245.83
Kronen Zeitung,Krone,Universität Linz,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1649,9069.0
Die Presse,Die Presse,Universität Linz,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1650,5606.0
OÖNachrichten,OÖNachrichten,Universität Linz,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1651,27002.82
Salzburger Nachrichten,Salzburger Nachrichten,Universität Linz,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1652,8776.32
ORF Salzburg,ORF,Universität Salzburg,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1653,6000.0
Heute,Heute,Unsere Wasserkraft GmbH & Co KG,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1654,18630.0
Twyn Group IT Solutions & Marketing Services AG,Twyn Group IT Solutions & Marketing Services AG,Unsere Wasserkraft GmbH & Co KG,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1655,10000.0
ATV,ATV,VERBUND AG,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1656,12421.21
Austria Plus,AUSTRIA PLUS,VERBUND AG,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1657,25500.0
Börsen-Kurier,Börsen-Kurier,VERBUND AG,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1658,5346.5
Cafè Puls,Puls 4,VERBUND AG,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1659,6115.1
Der Standard,Der Standard,VERBUND AG,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1660,27213.99
Die Presse,Die Presse,VERBUND AG,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1661,24111.59
Format,Format,VERBUND AG,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1662,10417.48
Gewinn,Gewinn,VERBUND AG,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1663,10421.68
Google Ireland Limited,Google,VERBUND AG,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1664,10272.46
Handelsblatt Made in Austria,Handelsblatt,VERBUND AG,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1665,6060.12
Heute,Heute,VERBUND AG,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1666,25420.43
Kabel 1 austria,Kabel 1,VERBUND AG,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1667,9716.99
Kleine Zeitung,Kleine Zeitung,VERBUND AG,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1668,72250.59
Kronen Zeitung,Krone,VERBUND AG,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1669,22236.31
Kurier,Kurier,VERBUND AG,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1670,20887.48
News,News,VERBUND AG,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1671,14170.77
NÖN,Niederösterreichische Nachrichten,VERBUND AG,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1672,11627.85
Hitradio Ö3,ORF,VERBUND AG,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1673,20089.33
ORF2,ORF,VERBUND AG,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1674,36077.23
Österreich,Österreich,VERBUND AG,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1675,51316.52
Pro Sieben Austria,Pro Sieben,VERBUND AG,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1676,16995.07
Profil,Profil,VERBUND AG,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1677,14982.15
PULS 4,Puls 4,VERBUND AG,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1678,9170.74
RTL,RTL,VERBUND AG,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1679,6782.81
Salzburger Nachrichten,Salzburger Nachrichten,VERBUND AG,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1680,27008.68
Sat 1 - Österreich,SAT 1,VERBUND AG,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1681,8939.1
Servus in Stadt & Land,Servus in Stadt & Land,VERBUND AG,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1682,6235.01
Servus TV,Servus,VERBUND AG,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1683,5138.2
Stadt und Werk,Stadt und Werk,VERBUND AG,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1684,5120.0
Terra Mater,Terra Mater,VERBUND AG,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1685,5685.23
Tips Oberösterreich,Tips,VERBUND AG,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1686,7567.26
Trend,Trend,VERBUND AG,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1687,24501.08
Unternehmer Magazin,Unternehmer Magazin,VERBUND AG,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1688,8224.39
VOX,VOX,VERBUND AG,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1689,9418.19
Woman,Woman,VERBUND AG,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1690,15437.08
www.derStandard.at,Der Standard,VERBUND AG,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1691,16800.0
www.DiePresse.com,Die Presse,VERBUND AG,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1692,6713.98
www.gmx.at,www.gmx.at,VERBUND AG,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1693,5880.98
www.tucareer.com,www.tucareer.com,VERBUND AG,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1694,6520.0
ZFK Zeitung für kommunale Wirtschaft,ZFK Zeitung für kommunale Wirtschaft,VERBUND AG,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1695,9221.31
Landwirtschaftliche Blätter,Landwirtschaftliche Blätter,Verein Agrarmarketing Tirol,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1696,6022.27
ORF Tirol,ORF,Verein Agrarmarketing Tirol,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1697,37409.92
Tiroler Tageszeitung,Tiroler Tageszeitung,Verein Agrarmarketing Tirol,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1698,51977.82
Tirolerin,Tirolerin,Verein Agrarmarketing Tirol,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1699,7350.0
Econova,eco.nova,Verein Agrarmarketing Tirol,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1700,9000.0
Life Radio,Life Radio,Verein Agrarmarketing Tirol,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1701,7911.15
Tiroler Bezirksblätter,Bezirksblätter,Verein Agrarmarketing Tirol,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1702,22629.2
Antenne/U1,Antenne,Verein Agrarmarketing Tirol,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1703,8773.52
Tiroler Krone,Krone,Verein Agrarmarketing Tirol,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1704,8913.71
Der Standard,Der Standard,"Verein NEUSTART Bewährungshilfe,Konfliktregelung, Soziale Arbeit",0,20123,Werbeaufträge und Medienkooperationen,2012,2,1705,9277.55
Infoscreen Austria GmbH,Infoscreen,Verein Theater der Jugend,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1706,5191.2
Die Presse,Die Presse,Vereinigte Bühnen Wien Ges.m.b.H.,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1707,22596.0
Radio Stephansdom,Radio Stephansdom,Vereinigte Bühnen Wien Ges.m.b.H.,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1708,6736.8
Schellmann Oswald,Schellmann Oswald,Vereinigte Bühnen Wien Ges.m.b.H.,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1709,5400.0
ORF Online,ORF,Vereinigte Bühnen Wien Ges.m.b.H.,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1710,6666.66
Woman,Woman,Vereinigte Bühnen Wien Ges.m.b.H.,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1711,9096.81
onrail Magazin,onrail,Vereinigte Bühnen Wien Ges.m.b.H.,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1712,9439.5
Skylines Magazin,Sky Lines,Vereinigte Bühnen Wien Ges.m.b.H.,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1713,5250.0
ORF Radio Kärnten,ORF,Verkehrsverbund Kärnten GesmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1714,5000.1
Kärntner Woche,Kärntner Woche,Verkehrsverbund Kärnten GesmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1715,9286.32
Kleine Zeitung,Kleine Zeitung,Verkehrsverbund Kärnten GesmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1716,14992.95
Kronen Zeitung,Krone,Verkehrsverbund Kärnten GesmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1717,11629.15
Logtisitik-Kurier,Logtisitik-Kurier,Verkehrsverbund Ost-Region (VOR) Gesellschaft m.b.H.,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1718,6800.0
VOR-Magazin,Vormagazin,Verkehrsverbund Ost-Region (VOR) Gesellschaft m.b.H.,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1719,8480.0
NÖN,Niederösterreichische Nachrichten,Verkehrsverbund Ost-Region (VOR) Gesellschaft m.b.H.,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1720,24620.52
Tiroler Bezirksblätter,Bezirksblätter,Verkehrsverbund Tirol GesmbH.,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1721,32040.1
Tiroler Krone,Krone,Verkehrsverbund Tirol GesmbH.,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1722,15609.83
Tiroler Tageszeitung,Tiroler Tageszeitung,Verkehrsverbund Tirol GesmbH.,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1723,19023.38
Weekend,Weekend Magazin,Verkehrsverbund Tirol GesmbH.,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1724,8723.41
ORF Vorarlberg,ORF,Verkehrsverbund Vorarlberg Gesellschaft mbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1725,20525.6
Vorarlberger Nachrichten,Vorarlberger Nachrichten,Verkehrsverbund Vorarlberg Gesellschaft mbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1726,5000.94
Infoscreen,Infoscreen,Volksoper Wien GmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1727,7086.27
Wien Live,wienlive,Volksoper Wien GmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1728,6000.0
"INFOSCREEN Austria, Gesellschaft für Stadtinformationsanlagen GmbH",Infoscreen,Volkstheater Gesellschaft m.b.H.,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1729,10140.8
motor presse stuttgart,motor presse stuttgart,Vorarlberg Tourismus GmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1730,8000.0
Creative Austria Magazine for contemporary art and culture in Austria,Creative Austria Magazine for contemporary art and culture in Austria,Vorarlberg Tourismus GmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1731,7000.0
Wann & Wo,Wann & Wo,Vorarlberger Elektroautomobil Planungs- und Beratungs GmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1732,6612.0
Vorarlberger Nachrichten,Vorarlberger Nachrichten,Vorarlberger Elektroautomobil Planungs- und Beratungs GmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1733,6441.12
VN/Medienhaus,Vorarlberger Nachrichten,Vorarlberger Gebietskrankenkasse,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1734,12410.0
Vorarlberger Nachrichten,Vorarlberger Nachrichten,Vorarlberger Kraftwerke Aktiengesellschaft,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1735,154247.15
Neue am Sonntag,Neue,Vorarlberger Kraftwerke Aktiengesellschaft,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1736,15306.17
Neue Vorarlberger Tageszeitung,Neue Vorarlberger Tageszeitung,Vorarlberger Kraftwerke Aktiengesellschaft,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1737,10204.11
ORF Vorarlberg,ORF,Vorarlberger Kraftwerke Aktiengesellschaft,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1738,7139.4
www.vol.at,www.vol.at,Vorarlberger Kraftwerke Aktiengesellschaft,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1739,19727.51
Vorarlberger Nachrichten,Vorarlberger Nachrichten,Vorarlberger Krankenhaus- Betriebsgesellschaft mit beschränkter Haftung,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1740,25213.0
Fuchs Report,Fuchs Report,Vorarlberger Landes- und Hypothekenbank Aktiengesellschaft,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1741,5865.0
St. Galler Nachrichten,St. Galler Nachrichten,Vorarlberger Landes- und Hypothekenbank Aktiengesellschaft,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1742,5059.17
